"PLANET_NUMBER";"p_name";"Star_key";"MASS";"density (earth)";"relative radius";"Terrain Type";"Type_climate"
690;"Yūgen Shadows Omicron";7142;2.21;1.08;1.27;"urban, plain";"artificial temperate"
691;"Yūgen Shadows Lambda";7142;5.98;0.87;1.9;"vine";"windy, tropical, hot, artificial temperate, frozen, temperate"
692;"Torii Beacon Jiu";7740;6.22;1;1.84;"island";"tropical, humid, artificial temperate, frozen"
693;"Torii Beacon Ba";7740;0.41;1.507;0.65;"river, sinkholes";"artificial temperate, windy, superheated"
694;"Abyssal Mirage San";8786;1.96;1.383;1.12;"forest, rocky desert";"subartic, frozen, temperate"
695;"Ketsueki Whispers Qi";5798;5.37;1.395;1.57;"rock arche, lakes, jungle";"superheated, windy, hot, artificial temperate"
696;"Ketsueki Whispers Yi";5798;7.68;1.635;1.67;"rock arche, plain";"temperate, hot, frozen"
697;"Revati II";2596;2.74;1.004;1.4;"savanna, ice cave, fungus forest, plain, sea, rocky desert, rocky canyon";"frozen, rocky, frigid, tropical, hot, artificial temperate, humid"
698;"Yozora Centaurios";5146;1.29;0.821;1.16;"savanna";"rocky"
699;"Enishi Resonance Selenean";2985;0.5;0.812;0.85;"scrubland, lava river, hill, reef, lakes, rocky canyon, river, ice canyon, jungle";"arid, humid, subartic, superheated, tropical, frozen"
700;"La Superba Apollox";6398;6.4;1.072;1.81;"rainforest, rocky canyon, island, cityscape, desert, rock arche";"superheated, frigid, frozen, artificial temperate"
701;"La Superba Tritonian";6398;0.56;0.42;1.1;"cave";"subartic, artic, windy, temperate, frigid, frozen"
702;"La Superba Pegasusian";6398;7.57;1.093;1.91;"rocky island, fungus forest, canyons, rock arche, ocean, cliff";"superheated, temperate, frozen, hot"
703;"Elysiumix XVIII";3574;5.37;0.717;1.96;"glacier, grassy hill, rainforest";"superheated, frozen, tropical, temperate"
704;"Sora VI";9088;1.94;0.933;1.28;"plain, city";"artic, frozen, subartic"
705;"Tuiren Eta";4727;unknown;0.861;1.22;"desert, glacier, plateau";"arid, rocky, windy, temperate, frigid"
706;"Tuiren Nu";4727;1.56;1.325;1.06;"ice canyon, verdant, tundra, rock arche, sea, urban";"superheated, arid, rocky, temperate, humid, frozen"
707;"Sirius Atlasios";1460;1.66;1.048;1.17;"cliff, tundra";"windy, temperate, arid, rocky, frigid"
708;"Horna Qi";7068;9.43;1.045;2.08;"rocky desert, reef, valley, hill, rainforest";"artic, superheated, rocky, artificial temperate"
709;"Horna San";7068;1.85;1.266;1.13;"ice canyon, volcano, reef, ice cave";"hot, superheated, rocky, frigid"
710;"Ephemeral Abyss VII";9535;2.59;0.663;1.58;"urban, sinkholes";"temperate, tropical, hot"
711;"Ephemeral Abyss XXI";9535;1.22;1.253;unknown;"cliff, urban, cave";"superheated, rocky"
712;"Ephemeral Abyss XI";9535;2.01;1.246;1.17;"cave, rocky canyon, urban, ice cave";"rocky, temperate, subartic, arid, humid"
713;"Malmok Nu";7287;5.01;1.413;1.53;"plain";"humid, windy, arid, rocky"
714;"Malmok Rho";7287;1.13;0.629;1.22;"desert, canyons, plateau, fungus forest, ice canyon, river, grassy hill, glacier";"superheated, humid, temperate, frozen, rocky, artic"
715;"Malmok Mu";7287;1.12;1.071;1.01;"savanna, ice cave, vine, forest";"subartic, frozen, rocky, arid"
716;"Malmok Sigma";7287;7.76;1.369;1.78;"ice canyon, toxic cloudsea, glacier";"artic, frigid, windy"
717;"Pleione Ba";6311;6.02;1.317;1.66;"island, bog, ocean, acid pool, plain, grassland, ice cave";"frigid, artificial temperate, frozen, windy, humid, hot"
718;"Pleione Yi";6311;0.45;1.397;0.69;"savanna";"hot, temperate"
719;"Pleione Shi";6311;2.2;1.316;1.19;"ocean, cave";"hot"
720;"Cleopatra's Loom San";85;1.38;1.197;1.05;"rock arche, vine, grassy hill";"artificial temperate, windy, arid"
721;"Cleopatra's Loom Yi";85;8.04;0.653;2.31;"jungle, savanna, rocky canyon";"superheated, artic, arid, tropical"
722;"Cleopatra's Loom Er";85;2.58;1.033;1.36;"glacier, city, cave, river";"frozen, subartic, artic"
723;"Gumala Quartal";2828;2.68;0.667;1.59;"ice canyon, sea";"artic, windy, subartic, humid, frozen"
724;"Gumala Nonal";2828;2.26;0.77;1.43;"island, savanna";"artificial temperate, frigid, hot, tropical"
725;"Gumala Tertial";2828;1.14;1.224;0.98;"fungus forest, bog, rocky canyon, hill, rocky island, field, lakes, verdant, rainforest";"arid, artic, temperate, windy, frigid, superheated, tropical"
726;"Horus' Ascendance Sigma";4568;2.98;0.772;1.57;"swamp, sea, reef";"temperate, tropical, frozen, arid, artic, artificial temperate"
727;"Cor Caroli XIX";3499;5.62;1.124;1.71;"urban, cityscape";"temperate"
728;"Lygos Veil XXI";3901;2.87;0.779;1.54;"lakes, urban";"hot, frigid, arid, rocky, artic, temperate"
729;"Lygos Veil IX";3901;7.38;1.556;1.68;"vine, field";"superheated, arid, temperate"
730;"Rotanev Titanos";7909;2.87;1.193;1.34;"sinkholes";"arid, windy, frozen, hot"
731;"Rigel Yi";6690;7.17;0.546;2.36;"ice canyon, river, urban";"frozen, windy, artic, subartic"
732;"Rigel Si";6690;2.67;1.105;1.34;"reef, rainforest, jungle";"temperate, superheated, subartic, windy, artificial temperate"
733;"Aludra Quartal";9429;4.69;1.138;1.6;"vine, ice canyon, ocean, jungle, acid pool";"hot, subartic, superheated, rocky, frozen"
734;"Amadioha Chi";5544;4.87;0.458;2.2;"river, rocky island";"artificial temperate"
735;"Ignifera XXIII";8060;1.48;0.935;1.17;"swamp, island, vine";"temperate, humid, rocky"
736;"Sumi Cascade Hestian";6551;1.52;0.853;1.21;"cliff, lava river, ocean, cityscape, mountain, savanna, rocky canyon, cave, valley";"artificial temperate, frozen, humid, subartic, hot, artic"
737;"Almaaz VI";932;1.52;0.524;unknown;"savanna, cityscape, lakes";"rocky, windy, artic, subartic"
738;"Schedar XII";7335;1.39;0.782;1.21;"cliff";"windy, rocky"
739;"Schedar VIII";7335;1.97;1.008;1.25;"plain, city";"subartic, rocky, superheated"
740;"Schedar XIII";7335;5.98;1.091;1.76;"city, urban";"artificial temperate"
741;"Schedar XXII";7335;2.12;0.849;1.36;"valley";"artic, frigid, hot, frozen, artificial temperate"
742;"Galactrix Decimal";9230;1.17;1.126;1.01;"desert";"temperate, frigid, superheated"
743;"Galactrix Tertial";9230;4.42;1.137;1.57;"urban";"windy, frigid, humid, rocky"
744;"Galactrix Quintal";9230;0.55;1.506;0.71;"sea, cityscape, plateau, fungus forest";"windy, tropical, arid, humid, artic, artificial temperate"
745;"Galactrix Prime";9230;3.02;1.385;1.3;"hill";"temperate, frozen, artificial temperate, tropical"
746;"Stoneshaper Prime";8243;6.77;0.78;2.05;"river, grassy hill, cliff";"tropical, humid, superheated, temperate"
747;"Muliphein Upsilon";6626;1.21;0.99;1.07;"cityscape, glacier";"artic, tropical, subartic"
748;"Nekkar Pegasusian";4298;1.7;1.016;1.19;"desert, fungus forest, cityscape, acid pool";"artic, superheated, frigid, humid, rocky"
749;"Dofida XX";9999;5.86;0.879;1.88;"rainforest";"superheated, tropical, hot, temperate"
750;"Dofida XIX";9999;7.98;0.974;2.02;"desert, valley, cave";"arid, tropical, artic"
751;"Tarf Athenian";362;2.76;0.653;1.62;"canyons";"windy, superheated"
752;"Hamal Omicron";9880;7.81;0.97;2;"mountain";"frigid, subartic, arid"
753;"Hamal Zeta";9880;6.53;1.036;1.85;"hill, valley, vine";"frigid, windy, superheated, tropical, subartic, arid"
754;"Kochab Aetherios";6627;unknown;0.915;2.1;"rocky island, valley, lava river";"rocky, frigid, hot, temperate"
755;"Aladfar Tritonian";1879;0.63;0.92;0.88;"jungle, island, field, barren, valley";"arid, humid, windy, superheated"
756;"Spectral Veil Quintal";5071;5.9;1.016;1.8;"ice cave, swamp, hill";"tropical, subartic, artic, artificial temperate"
757;"Lerna Ba";7868;1.81;0.939;1.24;"forest";"tropical, superheated, subartic"
758;"Lerna Er";7868;9.14;1.272;1.93;"cliff, volcano, savanna";"subartic, superheated, arid"
759;"Zaurak Nonal";7404;2.28;0.967;1.33;"cave";"humid, artificial temperate, tropical, arid"
760;"Zaurak Quartal";7404;1.44;0.865;1.19;"ice canyon, lakes, tundra";"hot, superheated, temperate, windy, frozen, frigid, arid"
761;"Obsidian Whispers Kappa";721;2.27;1.144;1.26;"cityscape, field, tundra, island";"subartic, rocky, tropical, humid, frigid"
762;"Aegis Obscura Tertial";6654;1.62;1.243;1.09;"canyons";"humid, temperate, frigid"
763;"Frostbinder Vigesimal";200;2.24;0.564;1.58;"ice cave";"windy, frozen"
764;"Phoenicia Hestian";2747;1.48;1.101;1.1;"desert, lava river, acid pool, sinkholes, rocky desert, sea";"superheated, arid, artificial temperate, frigid"
765;"Phoenicia Janusian";2747;1.95;1.343;1.13;"urban, fungus forest, desert, ocean";"tropical, superheated, rocky"
766;"Diadem Tertial";2108;0.93;0.925;1;"valley";"superheated, hot"
767;"Diadem Sextant";2108;1.95;0.973;1.26;"ice cave";"hot, frozen"
768;"Diadem Octal";2108;0.73;1.257;0.83;"desert, cliff, reef, hill, island, toxic cloudsea, fungus forest, grassland, grassy hill";"frozen, artificial temperate, arid, temperate, tropical, rocky"
769;"Parumleo Alpha";3848;6.07;0.571;2.2;"jungle, acid pool, rainforest, fungus forest, urban";"rocky, frigid, humid, subartic, hot, temperate"
770;"Acrab Quintal";3977;1.22;0.933;1.09;"cliff, island, reef, glacier, valley";"rocky, subartic, artic, frigid, arid"
771;"Acrab Undecimal";3977;9.33;0.399;2.86;"sea";"temperate, humid, arid"
772;"Acrab Vigesimal";3977;1.81;0.804;1.31;"field, hill, vine, jungle";"artificial temperate, rocky, windy, artic, tropical"
773;"Acrab Septimal";3977;4.27;0.743;1.79;"canyons, volcano, rocky canyon, ice canyon, plain";"superheated, artificial temperate, subartic, humid"
774;"Stormcaller Shi";8018;9.31;1.025;2.09;"city, river, forest, cityscape, verdant, acid pool, cliff, plateau";"subartic, tropical, superheated, artic, hot"
775;"Adhara Beta";983;2.68;1.007;1.39;"rainforest";"windy, frigid, superheated, tropical"
776;"Adhara Delta";983;1.48;0.777;1.24;"cityscape, volcano, rocky desert, cliff";"frozen, tropical, humid, artificial temperate, arid, frigid"
777;"Orion's Elegance Alpha";9801;5.99;1.252;1.69;"forest";"windy, rocky"
778;"Orion's Elegance Omicron";2359;1.92;1.023;1.23;"grassland, acid pool, cave, canyons, rocky canyon, cliff, river, vine";"temperate, artic, rocky, subartic, frozen"
779;"Uzumaki Celestial XXIII";8823;1.24;1.131;1.03;"cave, field, vine";"tropical, windy, arid"
780;"Uzumaki Celestial XVIII";8823;2.26;1.528;1.14;"savanna, mountain, lava river, glacier, cityscape";"artificial temperate, arid, frozen"
781;"Uzumaki Celestial IV";8823;2.21;0.972;1.32;"canyons";"arid, rocky, artificial temperate, humid"
782;"Astrum Quasar Olympios";2419;7.23;0.909;2;"rainforest, hill, glacier";"windy, tropical, frozen"
783;"Astrum Quasar Persephonian";2419;0.67;0.898;0.91;"acid pool, ice canyon, reef";"rocky, windy, artificial temperate, frigid, tropical"
784;"Astrum Quasar Faunios";2419;4.87;1.208;1.59;"canyons, rocky desert, urban";"frozen, artic, hot, temperate"
785;"Astrum Quasar Aetherios";2419;1.64;1.602;1.01;"plateau, ice canyon, glacier";"rocky, frozen"
786;"Alshain Pantheon";9190;9;0.786;2.25;"cave, cityscape, jungle";"humid, tropical, temperate, hot"
787;"Frostbeard Shi";1814;1.38;1.082;1.08;"desert, tundra, lava river, city";"hot, superheated, artificial temperate, frozen, windy, rocky"
788;"Frostbeard Qi";1814;0.82;1.171;0.89;"river, volcano";"subartic, windy, hot, humid"
789;"Kamikaze Ascendance Rho";5540;6.71;1.008;unknown;"rocky canyon, ice canyon, reef, fungus forest";"frigid, temperate, tropical, subartic, humid, artic, hot"
790;"Mjoltr Rho";6928;1.75;1.17;1.14;"rocky canyon, canyons, city";"hot, arid"
791;"Mjoltr Pi";6928;4.06;1.174;1.51;"ice cave, ocean, urban, lakes, plain";"humid, subartic, frozen"
792;"Hanabi XV";7506;1.13;0.802;1.12;"rock arche";"superheated, frigid, windy, subartic, rocky"
793;"Zenithrax Yi";5254;1.82;0.86;1.28;"cityscape";"rocky"
794;"Zenithrax Wu";5254;8.27;0.681;2.3;"cliff";"frozen, artic, superheated, frigid, artificial temperate, tropical"
795;"Zenithrax Qi";5254;2.99;0.949;1.47;"bog, grassy hill, ice canyon, field";"frigid, artificial temperate, temperate"
796;"Cosmic Cascade Nonal";7373;4.54;1.06;1.62;"savanna";"subartic, hot"
797;"Azelfafage Iota";6557;0.41;1.019;0.74;"cave, desert, tundra, bog";"temperate, windy, rocky, artificial temperate"
798;"Azelfafage Upsilon";6557;6.09;1.216;1.71;"desert";"superheated"
799;"Acrux Omega";4232;1.5;1.166;1.09;"cityscape, urban, vine, lakes, rocky canyon";"frigid, windy, artic, artificial temperate, subartic"
800;"Altair XXIII";102;2.51;0.536;1.67;"bog, acid pool, sea, tundra, valley, volcano, rock arche";"superheated, artificial temperate, subartic, humid, rocky"
801;"Altair II";102;7.15;0.745;2.13;"toxic cloudsea, ice cave, grassy hill";"artic, humid"
802;"Cerulean Abyss Janusian";42;3.24;1.527;1.29;"tundra";"artic"
803;"Cerulean Abyss Centaurios";42;8.07;1.142;1.92;"tundra, volcano, lakes, cityscape, rock arche";"artificial temperate, frigid, superheated, windy, subartic, hot"
804;"Cerulean Abyss Herculean";42;1.78;0.92;1.25;"rock arche";"artic"
805;"Zypheron Theta";6260;0.95;0.988;0.99;"ocean, valley, vine";"hot, temperate, tropical"
806;"Zypheron Nu";6260;3.32;0.977;1.5;"jungle, hill, verdant";"humid, temperate, frigid, artic, tropical"
807;"Zypheron Tau";6260;5.74;0.821;1.91;"mountain, island, desert";"temperate, hot, artificial temperate"
808;"Uruk IV";3805;6.66;1.439;1.67;"volcano, ice cave, rock arche";"superheated, subartic, frozen, arid, humid, temperate"
809;"Galaxium Quintal";395;4.18;1.524;1.4;"island, rock arche";"windy, tropical, frozen, rocky, arid"
810;"Galaxium Quartal";395;0.4;0.969;0.74;"bog";"superheated, temperate"
811;"Solaris Shroud Aetherios";3563;5.24;1.088;1.69;"lakes, desert";"hot, temperate, artificial temperate, artic"
812;"Phantasmal Abyss Si";6682;5.9;1.615;1.54;"ocean, grassland";"rocky, arid, humid, artificial temperate"
813;"Phantasmal Abyss Ba";6682;2.85;0.937;1.45;"sea";"frozen, arid, artificial temperate"
814;"Phantasmal Abyss Shi";6682;2.06;0.79;1.38;"verdant, lava river, reef, rainforest, grassy hill, cliff";"artificial temperate, frozen, temperate, superheated"
815;"Wurren Yi";5234;1.15;0.782;1.14;"urban";"subartic"
816;"Wurren Ba";5234;1.9;0.803;1.33;"toxic cloudsea, volcano, rainforest, cave, jungle";"temperate, humid, rocky, tropical, arid, subartic, frozen"
817;"Wurren Wu";5234;7.85;0.886;2.07;"desert, urban, sinkholes, reef, lava river, rainforest";"tropical, rocky, subartic, superheated, temperate"
818;"Hadar Nyxios";4760;0.61;1.022;0.84;"valley";"superheated, subartic, tropical, arid"
819;"Alkes Omicron";7777;6.77;1.162;1.8;"cityscape, mountain";"rocky"
820;"Alkes Zeta";7777;2.73;1.178;1.32;"lava river, lakes, mountain";"arid, subartic, frozen"
821;"Nebulithra Asclepian";3973;1.94;1.028;1.24;"reef, river, lakes, rocky canyon, island";"tropical, temperate, superheated"
822;"Nebulithra Orphean";3973;0.96;0.868;1.03;"ocean, rocky canyon, sea, desert, acid pool, verdant";"artic, subartic, artificial temperate, superheated, arid"
823;"Nebulithra Tritonian";3973;8.08;1.009;2;"rocky island, ash, ocean, cliff, lakes";"temperate, superheated, rocky"
824;"Cosmoth Septimal";2834;6.12;1.11;1.77;"canyons, fungus forest, field, desert, ice cave, cliff, scrubland, sea";"hot, artificial temperate, artic, tropical, windy, arid"
825;"Cosmoth Octal";2834;2.85;0.952;1.44;"desert, tundra, forest, ash, canyons, swamp, reef, cliff";"superheated, artificial temperate, frigid, humid, hot, tropical"
826;"Petra III";2358;0.94;1.283;0.9;"city";"hot, arid, artic, superheated"
827;"Petra IX";2358;6.13;1.267;1.69;"cliff, rainforest";"arid, windy, tropical"
828;"Celaeno XIII";2282;5.77;1.145;1.71;"vine, plateau";"rocky, subartic, windy, frozen, temperate, arid"
829;"Celaeno XXIII";2282;1.28;1.002;1.08;"ice canyon, island, desert";"artificial temperate, subartic, tropical, rocky, frozen, artic"
830;"Celaeno I";2282;3.57;1.039;1.51;"fungus forest, toxic cloudsea";"superheated, humid, frozen, hot, windy"
831;"Lurking Cosmos Nemesisian";230;5.38;1.538;1.52;"bog, volcano, scrubland";"arid, hot, tropical"
832;"Lurking Cosmos Hecatean";230;unknown;0.932;2.03;"volcano, ice canyon, sea";"windy, arid, frigid"
833;"Lurking Cosmos Aetherios";230;4.01;1.305;1.45;"ice cave";"windy, hot, rocky, subartic, arid"
834;"Alioth Harpian";7343;7.35;0.799;2.09;"field, cityscape, mountain, rocky desert, cliff, lakes";"rocky, windy, hot, subartic, tropical, artificial temperate, arid"
835;"Cosmosol San";4628;1.25;0.989;1.08;"grassy hill, reef";"arid, artic, windy, hot"
836;"Cosmosith Prime";8307;7.87;1.323;1.81;"bog, verdant, city, urban";"frozen, hot, rocky"
837;"Cosmosith Octal";8307;0.39;0.431;0.97;"cityscape, canyons, rainforest, rocky island, reef, glacier";"frigid, arid, hot, humid"
838;"Citadelle Decimal";9193;2.02;0.907;unknown;"ice cave, river, cityscape, field, valley";"rocky, artificial temperate, frigid, windy"
839;"Citadelle Undecimal";9193;0.9;0.931;unknown;"vine";"subartic, arid, temperate, frozen, artic"
840;"Nebulithium Nonal";9282;2.22;1.453;1.15;"urban";"hot, temperate, rocky"
841;"Nebulithium Sextant";9282;3.09;1.167;1.38;"barren, river, rock arche, island";"arid, windy, humid, tropical, artificial temperate, frigid"
842;"Nebulithium Octal";9282;7.78;0.754;2.18;"sinkholes";"superheated, windy"
843;"Tegmine Er";6856;1.4;1.166;1.06;"forest, sinkholes, canyons, hill";"subartic, humid, superheated, frozen, artificial temperate"
844;"Pharaoh's Veil Asclepian";3790;3.5;1.487;1.33;"ice canyon";"frigid"
845;"Pharaoh's Veil Hadean";3790;6.04;1.019;1.81;"jungle, rocky island, urban, glacier";"frozen, tropical, subartic, artificial temperate"
846;"Nebulonix Pi";8701;unknown;0.955;unknown;"valley, acid pool, ice cave";"windy, artic, frigid, superheated"
847;"Azha Hestian";5285;1.94;1.254;1.16;"jungle, lava river, cave";"windy, arid, rocky, artificial temperate, tropical"
848;"Ukiyo Reverie Persephonian";423;2.95;1.373;1.29;"glacier";"rocky, frozen, artic"
849;"Ukiyo Reverie Psychean";423;2.96;0.836;1.52;"canyons";"arid, superheated, subartic"
850;"Helionara Yi";9091;7.53;1.004;1.96;"urban, vine";"arid, tropical"
851;"Galaxaraith Septimal";9819;6.74;1.423;1.68;"bog, grassland, urban, plain";"hot, rocky, superheated, temperate, tropical"
852;"Celestial Echo XIX";9197;9.16;0.777;2.28;"cityscape, rainforest, tundra, grassy hill";"humid, hot, arid, subartic"
853;"Novaflame XVI";9971;1.65;0.834;1.26;"mountain, island";"superheated, subartic, frozen, humid, artificial temperate"
854;"Kaze Horizon Duodecimal";646;1.87;0.925;1.26;"rainforest, rock arche, vine";"rocky, subartic, frigid, superheated, hot, frozen"
855;"Kaze Horizon Secant";646;2.58;0.683;1.56;"lava river, city, cliff, sea";"humid, frozen, arid, windy, temperate"
856;"Kaze Horizon Septimal";646;unknown;1.053;1.25;"grassland, plateau, rock arche, jungle, swamp, valley";"subartic, hot, temperate, windy, tropical"
857;"Kaze Horizon Tertial";646;8.57;1.12;1.97;"";"windy"
858;"Athebyne XIV";8802;7.63;1.249;1.83;"ice cave, lava river";"arid, tropical, artic, temperate"
859;"Cassionara Olympios";8661;4.43;1.248;1.53;"ice cave, rock arche, ash, ice canyon, sinkholes";"windy, tropical, frozen, superheated, frigid"
860;"Cassionara Tritonian";8661;1.2;0.655;1.22;"canyons, city, mountain, lava river, plain";"artificial temperate, frigid, superheated, windy, rocky"
861;"Asahi Horizon Alpha";245;1.85;0.887;1.28;"sinkholes, acid pool, ocean, swamp, plateau";"temperate, hot, humid, superheated, artificial temperate, artic"
862;"Asahi Horizon Xi";245;1.24;1.313;0.98;"savanna, ice canyon, hill, grassy hill, rock arche, rocky island";"temperate, tropical, frozen, humid"
863;"Asahi Horizon Theta";245;6.05;1.024;1.81;"river";"frigid"
864;"Asahi Horizon Eta";245;1.41;0.994;1.12;"glacier, valley, desert";"windy, superheated, subartic"
865;"Mazaalai XVIII";8815;2.36;1.232;unknown;"plain, ash";"hot"
866;"Mazaalai II";8815;3.52;0.677;1.73;"vine, sea";"hot, windy"
867;"Kitalpha VIII";7409;3.46;0.499;1.91;"reef, rocky island, rocky canyon";"artificial temperate, hot"
868;"Kitalpha XVIII";7409;2.1;0.873;1.34;"river, ice cave, rocky desert, sinkholes, desert";"frigid, superheated, artic"
869;"Kitalpha XV";7409;3.27;1.543;unknown;"ocean, grassy hill, ice canyon, vine, acid pool, valley, cliff";"windy, rocky, subartic, hot, frigid, superheated, temperate"
870;"Kitalpha II";7409;1.62;1.545;1.02;"cityscape, grassland, barren, urban, glacier, field, toxic cloudsea";"arid, temperate, superheated, artic, tropical"
871;"Unukalhai Poseidian";8325;5.73;1.367;1.61;"fungus forest, river, urban, rock arche";"hot, superheated, humid, artificial temperate, tropical, temperate"
872;"Rukbat IX";3673;unknown;0.853;2.01;"cave, swamp";"tropical, windy"
873;"Celestial Cascade Morphean";2709;2.28;0.884;1.37;"vine, mountain";"arid, artic, tropical, humid"
874;"Mönch Sirenios";3722;5.14;0.863;1.81;"rocky desert";"artic, humid, arid, superheated"
875;"Mönch Poseidian";3722;1.35;0.902;1.14;"reef, urban, city, savanna, ocean, jungle";"artic, frozen, superheated, humid, temperate, hot"
876;"Mönch Gaian";3722;1.5;1.254;1.06;"canyons, tundra, plain, lava river, savanna";"hot, frozen, windy, artic"
877;"Astromara San";2416;0.45;1.233;0.71;"reef, plateau, mountain, rock arche, valley";"rocky, artificial temperate, subartic"
878;"Astromara Wu";2416;1.12;0.835;1.1;"verdant, reef, ice canyon, hill";"temperate, subartic, artificial temperate, hot"
879;"Astromara Ba";2416;2.49;0.939;1.38;"rocky island, toxic cloudsea, hill, forest, savanna, mountain, reef, sea, acid pool";"subartic, artificial temperate, humid, artic, tropical, frozen"
880;"Uchū Veil Faunios";6900;8.33;1.056;1.99;"island, city, rainforest";"tropical, artic, superheated"
881;"Uchū Veil Selenean";6900;5.01;0.904;1.77;"forest, barren";"rocky, arid, frozen, temperate"
882;"Starlight Haven Nonal";7947;5.11;0.58;2.07;"grassland, sea, fungus forest, rocky island, ocean, reef";"artificial temperate, frozen, frigid, subartic, tropical, humid"
883;"Starlight Haven Secant";7947;1.76;0.963;1.22;"bog";"superheated, arid, rocky, subartic, frozen, artificial temperate, temperate"
884;"Celestrium Oranos";1284;3.63;0.966;1.55;"verdant, lakes";"hot, artificial temperate, superheated, humid"
885;"Lunarianth Septimal";4285;2.2;0.903;1.35;"island, cityscape";"windy, frigid"
886;"Lunarianth Quintal";4285;6.53;1.318;1.7;"cliff";"humid, arid"
887;"Lunarianth Sextant";4285;0.58;1.018;0.83;"cityscape, swamp, acid pool, verdant";"tropical, superheated, frigid"
888;"Scarabian Horizon XX";4583;1.09;0.986;1.03;"fungus forest, rock arche, swamp";"temperate, hot, humid, rocky, artificial temperate, frozen"
889;"Etherios Chi";280;6.17;1.104;1.77;"grassy hill, sea, valley";"frigid, windy, rocky, temperate"
890;"Etherios Epsilon";280;1.17;0.469;1.36;"rocky island, glacier, swamp, field, lakes, sea, ice canyon";"temperate, artic, tropical, subartic, rocky"
891;"Etherios Omega";280;1.32;1.181;1.04;"urban, ash";"tropical, rocky, subartic, hot, frigid, windy, artificial temperate"
892;"Etherios Zeta";280;3.76;1.377;1.4;"plateau, urban, island, mountain";"superheated, artificial temperate, frigid"
893;"Whalebone Nemesisian";7167;2.79;0.825;1.5;"sinkholes";"artic, temperate, rocky, artificial temperate, hot"
894;"Infinite Iris Apollox";4508;6.32;0.685;2.1;"ice cave, glacier, jungle, swamp, grassland";"frigid, tropical, temperate"
895;"Sabik Dionian";603;1.44;0.776;1.23;"rock arche, hill";"arid, subartic, windy, temperate, frigid"
896;"Chara San";4338;0.41;0.888;0.77;"cityscape, field, grassy hill, rocky island, reef, canyons, forest";"temperate, frigid, tropical, artificial temperate, rocky"
897;"Chara Jiu";4338;3.25;0.929;unknown;"city, fungus forest, ice canyon, plain, field, savanna, cityscape";"rocky, superheated, temperate, frigid, hot"
898;"Hannya Cosmos Theta";6952;6.28;0.706;2.07;"acid pool, desert, tundra";"arid, artificial temperate, humid, frigid, windy"
899;"Achird Delta";8938;6.96;1.018;1.9;"savanna, bog, tundra, forest, rock arche, lava river";"artificial temperate, tropical, superheated, hot, rocky"
900;"Achird Phi";8938;5.53;1.071;1.73;"city, reef";"rocky, temperate, subartic, artic"
901;"Achird Gamma";8938;2.48;0.94;1.38;"rocky island, tundra, savanna, rainforest, lakes";"superheated, subartic, arid, windy, rocky"
902;"Yugure Radiance Ba";4177;8.66;1.163;unknown;"bog, river, sinkholes, ocean, urban";"superheated, rocky, temperate, windy"
903;"Sulafat XXI";376;unknown;1.37;1.48;"urban, ash, cityscape";"temperate, subartic, rocky, superheated"
904;"Haruka Echoes Helios";6164;2.19;0.796;1.4;"plateau";"artificial temperate, arid, windy, artic, tropical"
905;"Nebulaflux Liu";4678;5.84;1.4;1.61;"mountain";"arid, temperate, superheated, artic, windy"
906;"Nebulaflux Qi";4678;3.63;0.723;1.71;"cityscape, fungus forest, hill";"temperate, humid, rocky, tropical, subartic"
907;"Seginus Eosian";4551;7.43;1.324;1.78;"field, valley, hill";"artificial temperate, artic, temperate, humid, frigid, superheated, arid"
908;"Lyraflux Typhonian";5355;1.64;0.856;1.24;"forest, vine, verdant, sea";"temperate, frigid, arid, windy, rocky"
909;"Maia Delta";1427;1.45;1.394;1.01;"ocean, forest, grassy hill, cliff";"temperate, artificial temperate, subartic, windy, humid"
910;"Maia Nu";1427;5.64;0.989;1.79;"sea, toxic cloudsea, river, rocky canyon, island";"artificial temperate, hot, frozen, frigid, temperate"
911;"Maia Tau";1427;0.69;0.858;0.93;"acid pool, lakes, plain, rock arche, verdant";"superheated, frozen, artic, tropical, windy"
912;"Stormweaver Titanos";6732;2.19;1.03;1.29;"reef, river, rock arche";"hot, artificial temperate, superheated"
913;"Chasoň Decimal";3699;2.28;0.632;1.53;"rocky desert, reef, river, scrubland, verdant";"hot, arid, frozen, windy, artic"
914;"Chasoň Nonal";3699;1.54;1.093;1.12;"barren, plain, savanna, lakes, city, plateau, grassy hill, island, cliff";"frozen, tropical, artic, artificial temperate, subartic, arid"
915;"Macondo Er";9640;2.8;1.079;1.37;"cliff, grassland";"frozen, humid"
916;"Macondo Qi";9640;3.73;1.027;1.54;"cave, sea, lakes";"superheated, temperate"
917;"Macondo San";9640;3.29;0.718;1.66;"tundra, volcano, lakes, hill";"humid, subartic, hot, artic, windy, artificial temperate"
918;"Macondo Shi";9640;3.8;1.317;1.42;"tundra";"temperate, subartic, rocky, humid"
919;"Polaris Australis Ba";7297;5.66;1.042;1.76;"cliff";"tropical, windy, artificial temperate, humid, hot"
920;"Polaris Australis Jiu";7297;2.49;1.078;unknown;"field, urban, tundra";"frozen, subartic, temperate"
921;"Polaris Australis San";7297;4.24;1.298;1.48;"grassland, rocky desert, plain, rocky canyon, acid pool, cliff";"arid, windy, temperate, superheated, artificial temperate, frozen"
